sequence;date;expirationDate;supplier;documentNumber;netAmount;vatAmount;totalAmount;outstandingAmount
20140195;24/06/2014;24/07/2014;confederatie bouw vzw;;399,5;83,9;483,4;0
20140194;25/06/2014;10/07/2014;sip-well nv;;73,79;7,31;81,1;0
20140192;26/06/2014;26/07/2014;euphony;;29,72;6,24;35,96;0
20140190;19/06/2014;3/07/2014;C&J Credit Services bvba;;179,05;37,6;216,65;0
20140187;30/05/2014;13/06/2014;C&J Credit Services bvba;1382;179,05;37,6;216,65;0
20140185;17/06/2014;17/06/2014;Notaris Sophie Van der Biest;FACT 2130299;1064,67;180,81;1245,48;0
20140184;23/06/2014;23/06/2014;Notaris Sophie Van der Biest;FACT 2130310;7602,44;458,62;8061,06;0
20140181;10/06/2014;27/06/2014;kbc verzekeringen;;294,57;0;294,57;0
20140180;6/06/2014;17/07/2014;kbc verzekeringen;iveco;172,54;0;172,54;172,54
20140179;6/06/2014;5/07/2014;kbc verzekeringen;fiat;166,94;0;166,94;0
20140178;31/05/2014;15/06/2014;sita waste services nv;;15,3;3,21;18,51;18,51
20140176;5/06/2014;30/06/2014;base company nv;4123244114;85,95;17,47;103,42;103,42
20140170;17/06/2014;17/06/2014;Notaris Sophie Van der Biest;;1064,67;180,81;1245,48;0
20140169;1/06/2014;1/07/2014;kbc verzekeringen;37.518.136-000;1065,95;0;1065,95;1065,95
20140168;17/06/2014;17/06/2014;compu-trade bvba;14060204;41,24;8,66;49,9;0
20140162;2/06/2014;20/06/2014;lampiris;;127,29;26,36;153,65;0
20140159;10/06/2014;10/07/2014;de meester consultants;;165,29;34,71;200;0
20140158;10/06/2014;10/07/2014;de meester consultants;;1347,79;283,04;1630,83;0
20140156;28/05/2014;27/06/2014;leitz-service nv;1526508;207,99;43,68;251,67;251,67
20140155;1/05/2014;27/06/2014;kbc verzekeringen;72.207.539-0000 27/06;97,43;0;97,43;97,43
20140153;16/05/2014;15/06/2014;kbc verzekeringen;bedrijspersoneel;1302,76;0;1302,76;0
20140152;13/05/2014;12/06/2014;mensura vzw;;258,35;0;258,35;258,35
20140146;30/04/2014;8/05/2014;devomat industries;;408,06;85,69;493,75;0
20140145;30/04/2014;5/05/2014;sita waste services nv;1584307107;54,7;11,49;66,19;0
20140143;26/05/2014;10/06/2014;sip-well nv;F14091497;73,3;7,25;80,55;0
20140142;11/05/2014;26/05/2014;car en construct Blomme;158;430,04;90,31;520,35;0
20140140;20/05/2014;19/06/2014;C&J Credit Services bvba;;179,05;37,6;216,65;0
20140137;5/05/2014;30/05/2014;base company nv;4049631514;91,89;18,89;110,78;0
20140136;8/05/2014;7/06/2014;Nancys Work Wear;14000992;744,82;156,41;901,23;0
20140135;12/05/2014;11/06/2014;leitz-service nv;582412;86,12;18,09;104,21;104,21
20140134;4/06/2014;4/07/2014;C&J Credit Services bvba;;112;23,52;135,52;0
20140130;2/05/2014;20/05/2014;lampiris;;127,29;26,36;153,65;0
20140128;29/04/2014;13/05/2014;Bouwunie;;61,98;13,02;75;0
20140127;25/04/2014;10/05/2014;sip-well nv;;73,3;7,25;80,55;0
20140126;11/04/2014;30/04/2014;martin linssen & co;;120,9;25,39;146,29;0
20140124;30/04/2014;27/05/2014;kbc verzekeringen;;97,43;0;97,43;97,43
20140123;15/05/2014;18/05/2014;kbc verzekeringen;;340,43;0;340,43;0
20140119;9/04/2014;16/04/2014;lambrechts verhuur bvba;;124,3;26,1;150,4;150,4
20140118;18/04/2014;18/05/2014;Bouwservice;;350;73,5;423,5;0
20140117;16/04/2014;30/04/2014;C&J Credit Services bvba;;269,43;56,58;326,01;0
20140116;16/04/2014;30/04/2014;C&J Credit Services bvba;950;179,05;37,6;216,65;0
20140115;22/04/2014;22/04/2014;de meester consultants;;892;187,32;1079,32;0
20140110;18/04/2014;18/05/2014;compu-trade bvba;;427,09;89,69;516,78;0
