sequence;date;expirationDate;supplier;documentNumber;netAmount;vatAmount;totalAmount;outstandingAmount
20130185;2/09/2013;2/09/2013;de meester consultants;;156;32,76;188,76;0
20130184;7/09/2013;7/10/2013;hdd design bvba;;6,99;1,47;8,46;0
20130183;30/08/2013;29/10/2013;vc wood;;591,84;124,29;716,13;716,13
20130182;5/09/2013;15/09/2013;ip nexia;;30,06;6,31;36,37;0
20130181;11/09/2013;11/10/2013;lecot;;450,33;94,57;544,9;0
20130180;10/09/2013;9/11/2013;vc wood;;214,73;37,29;252,02;69,81
20130179;10/09/2013;9/11/2013;vc wood;;405,92;85,24;491,16;491,16
20130178;4/09/2013;3/11/2013;vc wood;;-148,72;0;-148,72;0
20130177;6/09/2013;17/10/2013;kbc verzekeringen;;172,54;0;172,54;0
20130176;6/09/2013;5/10/2013;kbc verzekeringen;;166,94;0;166,94;0
20130175;9/09/2013;9/10/2013;lippens metalshop berner;;-1017,53;-213,68;-1231,21;0
20130173;4/09/2013;4/09/2013;banden roelants;;22;4,62;26,62;0
20130172;23/08/2013;22/10/2013;vc wood;;5423,81;1139;6562,81;6562,81
20130171;23/08/2013;22/10/2013;vc wood;;1814,09;380,96;2195,05;2195,05
20130170;26/08/2013;25/09/2013;lecot;;71,28;14,97;86,25;0
20130169;7/08/2013;17/08/2013;ip nexia;;8;1,68;9,68;0
20130168;27/08/2013;13/09/2013;sip-well nv;;47,88;5,94;53,82;0
20130167;22/08/2013;21/10/2013;vc wood;;-61,74;-12,97;-74,71;0
20130166;28/08/2013;7/09/2013;euphony;;93,27;19,58;112,85;0
20130163;23/08/2013;30/09/2013;agc;;4411,37;926,39;5337,76;3837,76
20130162;31/07/2013;30/08/2013;de gelder;fdv13/1252;248,95;52,28;301,23;0
20130161;12/08/2013;11/09/2013;lecot;30826955;222,24;46,67;268,91;0
20130160;13/08/2013;12/09/2013;van langendonck bvba;v13/07461;232,88;48,9;281,78;0
20130159;16/08/2013;31/08/2013;luminus;8324006905;19,84;4,16;24;0
20130158;24/08/2013;31/08/2013;luminus;8324006897;66,12;13,88;80;80
20130157;24/08/2013;27/09/2013;kbc verzekeringen;;97,43;0;97,43;0
20130156;19/08/2013;3/09/2013;toi toi & dixi;131698643;114,16;23,97;138,13;0
20130155;22/08/2013;22/08/2013;hdi;28667;31,17;6,55;37,72;0
20130154;14/08/2013;13/10/2013;vc wood;z13080099;2841,16;596,64;3437,8;3437,8
20130153;31/07/2013;31/07/2013;all-scaff steigerbouw bvba;20131746;300;63;363;0
20130152;9/08/2013;30/09/2013;dl chemicals;vf1314784;522,01;109,62;631,63;0
20130151;19/08/2013;18/09/2013;lecot;30831855;225,51;47,36;272,87;0
20130150;7/08/2013;7/08/2013;lippens metalshop berner;;1017,53;213,68;1231,21;0
20130148;2/08/2013;30/09/2013;fabory centres belgium nv;;134,1;28,16;162,26;0
20130147;31/07/2013;15/08/2013;sita waste services nv;;121,94;25,61;147,55;0
20130146;6/08/2013;21/08/2013;luminus;;66,96;81,26;148,22;148,22
20130145;6/08/2013;6/08/2013;hdi;;484,04;47,65;531,69;0
20130144;9/08/2013;9/08/2013;colruyt;;42,95;4,43;47,38;0
20130143;3/08/2013;3/08/2013;compu-trade bvba;;4,05;0,85;4,9;0
20130142;29/07/2013;28/08/2013;euphony;;110,24;23,15;133,39;0
20130141;7/08/2013;7/08/2013;compu-trade bvba;;37,93;7,97;45,9;0
20130140;6/08/2013;6/10/2013;vlaamse belastingdienst - ov;;4025,2;0;4025,2;0
20130139;7/08/2013;5/09/2013;hdi;;1400;0;1400;0
20130138;31/07/2013;31/07/2013;de meester consultants;;846;177,66;1023,66;0
20130137;26/07/2013;11/08/2013;sip-well nv;;56,37;5,72;62,09;0
20130136;16/07/2013;31/07/2013;luminus;;19,83;4,16;23,99;0
20130135;19/07/2013;17/09/2013;vc wood;;5426,36;1123,92;6550,28;6550,28
20130134;18/07/2013;17/08/2013;cras nv;;2469,69;510,85;2980,54;0
20130133;22/07/2013;6/08/2013;toi toi & dixi;;114,16;23,97;138,13;0
20130132;13/07/2013;20/09/2013;acerta;;710,68;0;710,68;710,68
20130131;22/07/2013;22/07/2013;sita waste services nv;;-9,3;-1,95;-11,25;0
20130130;1/07/2013;1/07/2013;electrabel;;1008,73;0;1008,73;0
20130129;10/07/2013;24/07/2013;acerta;;4081,4;0;4081,4;0
20130128;17/07/2013;16/08/2013;van den broeck bvba;;140,06;29,41;169,47;40,49
20130127;28/06/2013;28/06/2013;all-scaff steigerbouw bvba;;375;78,75;453,75;0
20130126;30/06/2013;15/07/2013;sita waste services nv;;75,84;15,93;91,77;0
20130125;4/07/2013;3/08/2013;sita waste services nv;;-18,95;-3,98;-22,93;0
20130124;4/03/2013;19/03/2013;toi toi & dixi;;114,16;23,97;138,13;0
20130123;8/07/2013;5/10/2013;hdi;;856,18;0;856,18;0
20130122;8/07/2013;5/09/2013;hdi;;1027,41;0;1027,41;0
20130121;8/07/2013;5/08/2013;hdi;;1027,41;0;1027,41;0
20130120;1/07/2013;1/07/2013;grenke sprl;;507;106,47;613,47;0
20130119;8/07/2013;7/08/2013;lecot;;244,75;51,4;296,15;0
20130118;30/06/2013;29/08/2013;vc wood;;940,79;197,57;1138,36;0
20130117;10/07/2013;8/09/2013;vc wood;;-297,8;-62,54;-360,34;0
20130116;11/07/2013;5/08/2013;hdi;;1400;0;1400;0
20130115;30/06/2013;30/07/2013;de gelder;;65,58;13,77;79,35;0
20130114;17/07/2013;27/08/2013;kbc verzekeringen;;93,8;0;93,8;0
20130113;15/07/2013;14/08/2013;lecot;;534,35;112,21;646,56;0
20130112;16/07/2013;31/07/2013;luminus;;66,12;13,89;80,01;80,01
20130111;30/06/2013;30/06/2013;uw loodgieter bvba;;1524,6;0;1524,6;0
20130110;30/06/2013;29/08/2013;vc wood;;673,2;141,37;814,57;0
20130109;28/06/2013;28/08/2013;vc wood;;1306,06;274,27;1580,33;1580,33
20130108;30/06/2013;29/08/2013;vc wood;;415,95;87,35;503,3;0
20130107;28/06/2013;28/07/2013;van langendonck bvba;;2,02;0,42;2,44;0
20130106;30/06/2013;30/07/2013;lecot;;627,06;131,68;758,74;0
20130105;30/06/2013;30/07/2013;de kinder;;928,58;195;1123,58;0
20130104;30/06/2013;30/07/2013;cras nv;;3599,23;744,5;4343,73;0
20130103;30/06/2013;30/07/2013;cras nv;;3989,51;825,23;4814,74;0
20130102;3/06/2013;3/06/2013;fabory centres belgium nv;;95,2;19,99;115,19;0
20130101;5/06/2013;5/06/2013;fabory centres belgium nv;;92,7;19,47;112,17;0
20130100;3/06/2013;6/06/2013;fabory centres belgium nv;;135,64;28,48;164,12;0
20130099;31/05/2013;15/06/2013;sita waste services nv;;79,79;16,76;96,55;0
20130098;28/06/2013;28/07/2013;leitz-service nv;;160,84;33,78;194,62;0
20130097;27/06/2013;7/07/2013;euphony;;161,57;33,93;195,5;0
20130096;27/06/2013;4/07/2013;cerclindus nv;;2196,98;461,37;2658,35;0
20130095;29/06/2013;7/07/2013;woodeke;;208;43,68;251,68;0
20130094;25/06/2013;10/07/2013;sip-well nv;;59,07;5,88;64,95;0
20130093;17/06/2013;26/08/2013;vlaamse belastingdienst - vkb;;127,51;0;127,51;0
20130092;17/06/2013;26/08/2013;vlaamse belastingdienst - vkb;;73,66;0;73,66;73,66
20130091;21/06/2013;28/06/2013;cerclindus nv;;12,95;2,72;15,67;0
20130090;18/06/2013;17/08/2013;vc wood;;2217,28;465,63;2682,91;0
20130089;12/06/2013;11/08/2013;vc wood;;-37,18;0;-37,18;0
20130088;21/06/2013;20/08/2013;vc wood;;1595,97;335,15;1931,12;0
20130087;25/06/2013;24/08/2013;vc wood;;465,94;90,04;555,98;0
20130086;24/06/2013;9/07/2013;toi toi & dixi;;114,16;23,97;138,13;0
20130085;16/06/2013;1/07/2013;luminus;;165,29;34,71;200;0
20130084;7/06/2013;21/06/2013;de clercq eddy;;418,3;87,84;506,14;0
20130083;15/03/2013;15/06/2013;j. trentels - stevens nv;;159,74;33,55;193,29;0
20130082;15/06/2013;15/07/2013;koeck bvba;;397,2;83,41;480,61;0
20130081;20/06/2013;20/06/2013;van den broeck bvba;;1182,27;248,28;1430,55;0
20130080;6/06/2013;11/06/2013;apcoa belgium nv;;15;0;15;0
20130079;17/06/2013;31/07/2013;agc;;4320,94;907,4;5228,34;0
20130078;31/05/2013;30/06/2013;van langendonck bvba;;85,55;17,97;103,52;0
20130077;5/06/2013;12/06/2013;cerclindus nv;;46,6;9,79;56,39;0
20130076;31/05/2013;31/05/2013;hout de groote nv;;2509,09;526,91;3036;0
20130075;31/05/2013;30/06/2013;van biesen - everaert bvba;;46,57;9,78;56,35;0
20130074;12/06/2013;30/07/2013;van steenberghe;;2231,68;468,65;2700,33;0
20130073;10/06/2013;10/07/2013;van langendonck bvba;;310,01;65,1;375,11;0
20130071;17/06/2013;5/07/2013;kbc verzekeringen;;162,87;0;162,87;0
20130070;17/06/2013;17/07/2013;kbc verzekeringen;;168,35;0;168,35;0
20130069;17/06/2013;27/07/2013;kbc verzekeringen;;93,8;0;93,8;0
20130068;17/06/2013;1/07/2013;kbc verzekeringen;;1071,23;0;1071,23;0
20130067;14/06/2013;14/08/2013;APB-Bedrijven O-Vl;;122,4;0;122,4;0
20130066;7/06/2013;7/06/2013;delek belgium bvba;;114,32;0;114,32;0
20130065;31/05/2013;31/05/2013;all-scaff steigerbouw bvba;;300;63;363;0
20130064;31/05/2013;30/07/2013;vc wood;;4357,04;907,17;5264,21;0
20130063;10/06/2013;31/07/2013;ets. pascal de saedeleir nv;;151,2;31,43;182,63;182,63
20130062;31/05/2013;30/06/2013;cras nv;;1546,3;319,85;1866,15;0
20130061;31/05/2013;30/06/2013;cras nv;;1571,39;325,04;1896,43;0
20130060;3/06/2013;31/07/2013;fabory centres belgium nv;;470,77;98,86;569,63;0
20130059;31/05/2013;30/06/2013;de kinder;;158,16;33,21;191,37;0
20130058;31/05/2013;7/06/2013;cerclindus nv;;226,26;47,51;273,77;0
20130057;30/05/2013;29/07/2013;vc wood;;1027,52;215,78;1243,3;0
20130056;30/05/2013;29/07/2013;vc wood;;2724,3;572,1;3296,4;0
20130055;31/05/2013;30/06/2013;ets. pascal de saedeleir nv;;367,9;76,49;444,39;0
20130054;31/05/2013;31/05/2013;metalu;;94,18;19,78;113,96;0
20130052;15/05/2013;18/06/2013;hdd design bvba;;211,66;44,45;256,11;0
20130051;27/05/2013;11/06/2013;toi toi & dixi;;114,16;23,97;138,13;0
20130050;28/05/2013;27/06/2013;sip-well nv;;105,83;5,71;111,54;0
20130048;28/02/2013;28/02/2013;hautot marc;;60,22;0;60,22;60,22
20130047;27/05/2013;27/05/2013;evolias nv;;1358,83;285,35;1644,18;0
20130046;24/05/2013;30/06/2013;dl chemicals;;383,16;80,46;463,62;0
20130045;24/05/2013;24/05/2013;ijzerwaren vertommen;;56;11,76;67,76;0
20130044;12/04/2013;11/05/2013;kbc verzekeringen;;430,81;0;430,81;0
20130043;25/05/2013;25/05/2013;compu-trade bvba;;173,55;36,45;210;0
20130042;20/04/2013;20/04/2013;de meester consultants;;846;177,66;1023,66;0
20130041;9/04/2013;9/05/2013;glashandel lamoen;;528;110,88;638,88;0
20130040;12/04/2013;12/05/2013;glashandel lamoen;;200;42;242;0
20130039;11/04/2013;18/04/2013;lambrechts verhuur bvba;;51,25;10,76;62,01;0
20130038;16/04/2013;16/05/2013;van hemelrijck nv;;41,74;8,77;50,51;0
20130037;16/04/2013;1/05/2013;luminus;;165,29;34,71;200;0
20130036;31/01/2013;2/03/2013;leitz-service nv;;127,86;26,85;154,71;0
20130035;21/03/2013;12/04/2013;wtcb;;118;24,78;142,78;0
20130034;14/05/2013;30/06/2013;fabory centres belgium nv;;7,1;1,49;8,59;0
20130033;14/05/2013;13/06/2013;de meester consultants;;165,29;34,71;200;0
20130032;13/05/2013;28/05/2013;indicator nv;;47;2,82;49,82;0
20130031;14/05/2013;30/06/2013;fabory centres belgium nv;;175,01;36,75;211,76;0
20130030;30/04/2013;30/05/2013;de gelder;;702,5;150,68;853,18;0
20130029;16/05/2013;31/05/2013;luminus;;165,29;34,71;200;0
20130028;23/04/2013;31/05/2013;fabory centres belgium nv;;136,29;28,62;164,91;0
20130027;23/05/2013;23/06/2013;vc wood;;1119,34;235,06;1354,4;0
20130026;24/04/2013;23/06/2013;vc wood;;640,7;134,55;775,25;0
20130025;24/04/2013;23/06/2013;vc wood;;5308,1;1106,89;6414,99;0
20130024;18/04/2013;25/04/2013;cerclindus nv;;36,46;7,66;44,12;0
20130023;18/04/2013;25/04/2013;cerclindus nv;;210,08;44,12;254,2;0
20130022;18/04/2013;18/05/2013;van langendonck bvba;;407,91;85,66;493,57;0
20130021;17/04/2013;16/06/2013;vc wood;;277,74;58,33;336,07;0
20130020;17/04/2013;16/06/2013;vc wood;;246,32;51,73;298,05;0
20130019;31/12/2012;31/01/2013;woodwork segers algemene schrijnwerkerij;;1092,32;0;1092,32;292,32
20130018;9/09/2012;23/09/2012;soens dieter;;4936,22;0;4936,22;1218,5
20130017;15/03/2013;25/03/2013;gemeente asse;;15;0;15;0
20130016;29/04/2013;14/05/2013;toi toi & dixi;;114,16;23,97;138,13;0
20130015;25/04/2013;25/05/2013;sip-well nv;;70,37;5,79;76,16;0
20130014;30/04/2013;30/04/2013;metalu;;30,46;6,4;36,86;0
20130013;30/04/2013;7/05/2013;cerclindus nv;;351,65;73,85;425,5;0
20130012;29/04/2013;29/05/2013;mensura vzw;;51,66;0;51,66;0
20130011;30/04/2013;30/05/2013;de kinder;;96,93;20,36;117,29;0
20130010;30/04/2013;30/05/2013;lecot;;17,66;3,71;21,37;0
20130009;30/04/2013;30/05/2013;cras nv;;2433,02;503,27;2899,79;0
20130008;30/04/2013;30/04/2013;all-scaff steigerbouw bvba;;375;78,75;453,75;0
20130007;6/05/2013;21/05/2013;Thomas toyota;;200,81;42,17;242,98;0
20130006;30/04/2013;30/05/2013;van biesen - everaert bvba;;36,72;7,71;44,43;0
20130005;30/04/2013;31/05/2013;agc;;5026,81;1055,63;6082,44;0
20130004;21/05/2013;21/05/2013;A.O.C Projects & Events;;600;0;600;0
20130003;13/05/2013;28/05/2013;Thomas toyota;;467,63;98,2;565,83;0
20130002;13/05/2013;28/05/2013;Thomas toyota;;163,81;34,4;198,21;0
20130001;13/05/2013;13/06/2013;van laere;;3393,05;712,54;4105,59;0
1303062;11/03/2013;10/05/2013;vc wood;;-32,1;0;-32,1;0
119;31/03/2013;30/04/2013;cras nv;;4337,81;897,28;5170,02;0
118;29/03/2013;28/05/2013;vc wood;;264,55;55,56;320,11;0
116;31/03/2013;30/04/2013;van biesen - everaert bvba;;54,4;11,42;65,82;0
115;31/03/2013;30/04/2013;michem;;167,3;0;167,3;0
114;1/04/2013;1/04/2013;grenke sprl;;507;106,47;613,47;0
110;1/04/2013;16/04/2013;toi toi & dixi;;114,16;23,97;138,13;0
108;28/02/2013;28/03/2013;van biesen - everaert bvba;;221,43;46,5;267,93;0
106;11/03/2013;10/04/2013;michem;;112,08;23,54;135,62;0
105;21/03/2013;20/04/2013;confederatie bouw waasland vzw;;215;45,15;260,15;0
102;16/03/2013;15/04/2013;electrabel;;206,61;43,39;250;0
100;31/01/2013;28/02/2013;van biesen - everaert bvba;;1082,31;227,29;1309,6;0
99;12/02/2013;14/03/2013;confederatie bouw waasland vzw;;296;62,16;358,16;0
97;26/02/2013;26/02/2013;all-scaff steigerbouw bvba;;150;31,5;181,5;0
86;27/02/2013;29/03/2013;van langendonck bvba;;386,69;81,2;467,89;0
82;25/05/2013;24/06/2013;confederatie bouw vzw;;375,8;78,92;454,72;0
76;18/02/2013;20/03/2013;lecot;;70,09;14,72;84,81;0
74;28/02/2013;30/03/2013;van langendonck bvba;;29,61;6,22;35,83;0
73;20/02/2013;22/03/2013;borgh nv;;457,56;96,49;554,05;0
72;12/03/2013;11/04/2013;van langendonck bvba;;9,21;1,93;11,14;0
71;13/03/2013;13/04/2013;hdd design bvba;;264,3;55,5;319,8;0
70;8/03/2013;17/04/2013;kbc verzekeringen;;168,35;0;168,35;0
69;8/03/2013;5/04/2013;kbc verzekeringen;;162,87;0;162,87;0
68;7/03/2013;30/04/2013;van steenberghe;;838,11;176;1014,11;0
66;15/03/2013;14/05/2013;vc wood;;1929,6;405,22;2334,82;0
65;1/03/2013;27/04/2013;kbc verzekeringen;;93,8;0;93,8;0
61;21/03/2013;31/05/2013;vlaamse belastingdienst - vkb;;73,66;0;73,66;0
60;28/03/2013;27/05/2013;vc bouw nv;;521,14;109,44;630,58;0
59;31/03/2013;30/04/2013;de kinder;;549,21;115,33;664,54;0
58;29/03/2013;28/04/2013;van langendonck bvba;;1322,67;277,76;1600,43;0
57;31/03/2013;30/04/2013;de gelder;;783,45;164,52;947,97;0
56;10/04/2013;30/05/2013;van steenberghe;;3207,02;673,47;3880,49;0
55;28/03/2013;28/03/2013;all-scaff steigerbouw bvba;;300;63;363;0
