name
A.A.D.B.
A.O.C Projects & Events
APB-Bedrijven O-Vl
Auditas - DBW
Belfius Verzekeringen
Benny Van Den Heuvel ( koeck bvba)
Blankenbergse liftservice
Bouwservice
Bouwunie
C&J Credit Services bvba
Callens
Cembrit nv
DJ Construct bvba
De Bisschop
De Cleene Technics
De Koninck
De Rudder Franky
Dieter Braem ( yepp nv)
Dowood
Elsie Van den Berghe ( ijzerwaren vertommen)
Erik Van Biesen (N.V. De Bisschop)
FOD Financien
FOD Mobiliteit en Vervoer
Frank de Jong ( dl chemicals)
Gebr. Hermans nv
Gillis Van Ranst ( Jonckheere wood nv)
Glashandel Michem
Gunther De Messemaeker ( hout de groote nv)
Häfele Belgium nv
ISIB vzw
JP Renoir
Jaak Van Extergem
Joeri Meersschaut
Jonckheere wood nv
Koenraad De Roo ( Van Hoecke nv)
Leverancier 131
M. Andries ( cerclindus nv)
Maxim Uyttersprot (B.V.B.A. ropamate international)
Michiel Roegies (N.V. devomat industries)
Nancys Work Wear
Notaris Sophie Van der Biest
Pieter-Jan Deschoemaeker
Simon & zonen nv
Stad Dendermonde
Studiebureel voor Automobieltransport nv
Thema nv
Thomas toyota
Tirdo
VAB Rijschool nv
Van Hoecke nv
Vangroenweghe
Wim Schollaert ( Cembrit nv)
acerta
adrem intermediagroup
agc
all-scaff steigerbouw bvba
apcoa belgium nv
banden roelants
base company nv
borgh nv
bouttens nv
broes - privé betaald
car en construct Blomme
cerclindus nv
color decor
colruyt
compu-trade bvba
confederatie bouw vzw
confederatie bouw waasland vzw
cras nv
db hardwoods
de clercq eddy
de gelder
de kinder
de maesschalck h.
de meester consultants
de vlek
delek belgium bvba
devomat industries
dl chemicals
dries - privé betaald
eb-lease
ecomat
ecostore
electrabel
eni gas & power nv
etanco benelux
ets. pascal de saedeleir nv
euphony
eurabo
evolias nv
fabory
fabory centres belgium nv
fod financien
gdw Veyssiere - hooft - vernimmen
gemeente asse
glashandel lamoen
grenke sprl
hanssens hout
hautot marc
hdd design bvba
hdi
herman motoren
hertecant hout nv
hout de groote nv
hout hendrickx
ijzerwaren vertommen
indicator nv
ip nexia
j. trentels - stevens nv
kbc verzekeringen
koeck bvba
lambrechts verhuur bvba
lampiris
lashing t.g.v. bvba
lecot
leitz-service nv
lippens metalshop berner
luc de lentdecker
luminus
martin linssen & co
mensura vzw
metalu
michem
onmiddelijke inningen
parko agb
ropamate international
scheuten glas diest nv
sip-well nv
sita waste services nv
soens dieter
toi toi & dixi
use it group nv
uw loodgieter bvba
van biesen - everaert bvba
van den broeck bvba
van den cruyce dirk
van hemelrijck nv
van laere
van langendonck bvba
van steenberghe
vanrobaeys
vc bouw nv
vc wood
vdab
vlaamse belastingdienst - ov
vlaamse belastingdienst - vkb
woodeke
woodeke.com
woodwork segers algemene schrijnwerkerij
wtcb
yepp nv
